Question,Answer
"What type is Pikachu?","Pikachu is an Electric-type Pokémon."
"Who is Ash's main Pokémon?","Ash’s main Pokémon is Pikachu."
"What are Legendary Pokémon?","Legendary Pokémon are rare, powerful Pokémon with special abilities."
"What type is Bulbasaur?","Bulbasaur is a Grass/Poison-type Pokémon."
"What is the final evolution of Charmander?","Charizard is the final evolution of Charmander."
"What is Pokémon?","Pokémon is a franchise where trainers capture, train, and battle creatures called Pokémon."
"What is the strongest Pokémon?","Arceus is often considered the strongest Pokémon, as it is said to be the creator of the Pokémon world."
"What is a Shiny Pokémon?","A Shiny Pokémon is a rare variant with a different color than usual."
"How many Pokémon exist?","As of the latest generation, there are over 1000 Pokémon species."
"What is the difference between Pikachu and Raichu?","Raichu is the evolved form of Pikachu, gaining more power and a slightly different appearance."
"What are the three starter Pokémon in Kanto?","The three starter Pokémon in Kanto are Bulbasaur, Charmander, and Squirtle."
"What is the weakness of Fire-type Pokémon?","Fire-type Pokémon are weak against Water, Rock, and Ground-type moves."
"What is the main goal in Pokémon games?","The main goal in Pokémon games is to become a Pokémon Champion by defeating Gym Leaders and the Elite Four."
"Which Pokémon can evolve into multiple forms?","Eevee can evolve into multiple forms, known as 'Eeveelutions,' including Vaporeon, Jolteon, and Flareon."
"What does a Moon Stone do?","A Moon Stone is an evolution item that helps certain Pokémon, like Clefairy and Jigglypuff, evolve."
"Who is the mascot of Pokémon?","Pikachu is the official mascot of the Pokémon franchise."
"What is a Mega Evolution?","Mega Evolution is a temporary evolution that makes certain Pokémon stronger during battles."
"What is the function of a Poké Ball?","A Poké Ball is used by trainers to catch and store Pokémon."
"Can Pokémon be dual-type?","Yes, many Pokémon have two types, like Charizard (Fire/Flying) and Gengar (Ghost/Poison)."
"What is the rarest Pokémon?","The rarest Pokémon vary by game, but Mythical Pokémon like Mew and Celebi are often considered the rarest."
